There are/is 299 red points in image
The full report is: 
{:rgb=>"249,249,251", :percent=>0.0, :quantity=>15}
{:rgb=>"250,251,253", :percent=>0.0, :quantity=>15}
{:rgb=>"0,50,136", :percent=>0.0, :quantity=>14}
{:rgb=>"0,67,140", :percent=>0.0, :quantity=>14}
{:rgb=>"0,71,144", :percent=>0.0, :quantity=>14}
{:rgb=>"8,76,144", :percent=>0.0, :quantity=>14}
{:rgb=>"33,82,148", :percent=>0.0, :quantity=>14}
{:rgb=>"247,247,251", :percent=>0.0, :quantity=>14}
{:rgb=>"0,31,134", :percent=>0.0, :quantity=>13}
{:rgb=>"0,55,137", :percent=>0.0, :quantity=>13}
{:rgb=>"0,55,139", :percent=>0.0, :quantity=>13}
{:rgb=>"0,62,139", :percent=>0.0, :quantity=>13}
{:rgb=>"247,247,252", :percent=>0.0, :quantity=>13}
{:rgb=>"249,249,253", :percent=>0.0, :quantity=>13}
{:rgb=>"253,252,255", :percent=>0.0, :quantity=>13}
{:rgb=>"0,60,139", :percent=>0.0, :quantity=>12}
{:rgb=>"0,63,141", :percent=>0.0, :quantity=>12}
{:rgb=>"0,62,140", :percent=>0.0, :quantity=>12}
{:rgb=>"3,75,145", :percent=>0.0, :quantity=>12}
{:rgb=>"0,74,153", :percent=>0.0, :quantity=>12}
{:rgb=>"116,131,176", :percent=>0.0, :quantity=>12}
{:rgb=>"192,197,221", :percent=>0.0, :quantity=>12}
{:rgb=>"247,248,250", :percent=>0.0, :quantity=>12}
{:rgb=>"0,54,138", :percent=>0.0, :quantity=>11}
{:rgb=>"0,56,138", :percent=>0.0, :quantity=>11}
{:rgb=>"0,61,139", :percent=>0.0, :quantity=>11}
{:rgb=>"0,61,140", :percent=>0.0, :quantity=>11}
{:rgb=>"0,64,141", :percent=>0.0, :quantity=>11}
{:rgb=>"0,73,152", :percent=>0.0, :quantity=>11}
{:rgb=>"242,243,247", :percent=>0.0, :quantity=>11}
{:rgb=>"246,247,251", :percent=>0.0, :quantity=>11}
{:rgb=>"248,248,253", :percent=>0.0, :quantity=>11}
{:rgb=>"249,249,254", :percent=>0.0, :quantity=>11}
{:rgb=>"251,251,254", :percent=>0.0, :quantity=>11}
{:rgb=>"0,54,137", :percent=>0.0, :quantity=>10}
{:rgb=>"0,60,138", :percent=>0.0, :quantity=>10}
{:rgb=>"0,66,142", :percent=>0.0, :quantity=>10}
{:rgb=>"2,76,151", :percent=>0.0, :quantity=>10}
{:rgb=>"15,77,146", :percent=>0.0, :quantity=>10}
{:rgb=>"0,75,154", :percent=>0.0, :quantity=>10}
{:rgb=>"25,79,146", :percent=>0.0, :quantity=>10}
{:rgb=>"39,86,160", :percent=>0.0, :quantity=>10}
{:rgb=>"82,107,161", :percent=>0.0, :quantity=>10}
{:rgb=>"116,133,181", :percent=>0.0, :quantity=>10}
{:rgb=>"179,184,214", :percent=>0.0, :quantity=>10}
{:rgb=>"190,194,222", :percent=>0.0, :quantity=>10}
{:rgb=>"195,198,224", :percent=>0.0, :quantity=>10}
{:rgb=>"200,202,227", :percent=>0.0, :quantity=>10}
{:rgb=>"236,237,244", :percent=>0.0, :quantity=>10}
{:rgb=>"236,237,245", :percent=>0.0, :quantity=>10}
{:rgb=>"242,243,248", :percent=>0.0, :quantity=>10}
{:rgb=>"244,244,249", :percent=>0.0, :quantity=>10}
